会社名,prtimesのURL,メールアドレス,電話番号,担当者,カテゴリ,日時,連絡禁止,初回アポ済み
株式会社NFTDrive,https://prtimes.jp/main/html/rd/p/000000003.000119487.html,nftdrive01@gmail.com,"",中島理男,アプリ,2023-06-25 12:16:40,"",""
C4 Connect株式会社,https://prtimes.jp/main/html/rd/p/000000087.000047782.html,moon.mu@c4connect.co.jp,"",Moon.Mu,アプリ,2023-06-25 12:16:40,"",""
株式会社おいしい健康,https://prtimes.jp/main/html/rd/p/000000084.000043855.html,press@oishi-kenko.com,"","",アプリ,2023-06-25 12:16:40,"",""
株式会社U-NEXT,https://prtimes.jp/main/html/rd/p/000000697.000030674.html,senden@paravi.jp,03-5563-8240,桑名・伊東・中村(知),アプリ,2023-06-25 12:16:40,"",""
AppBank株式会社,https://prtimes.jp/main/html/rd/p/000000079.000056785.html,koho@appbank.net,"","",アプリ,2023-06-25 12:16:40,"",""
東日本電信電話株式会社,https://prtimes.jp/main/html/rd/p/000000624.000098811.html,hiroyuki.ootake.mz@airportradio.co.jp,"","",アプリ,2023-06-25 12:16:40,"",""
ウェルヴィル株式会社,https://prtimes.jp/main/html/rd/p/000000018.000066680.html,contact@wellvill.com,"",　山崎,アプリ,2023-06-25 12:16:40,"",""
株式会社サイバード,https://prtimes.jp/main/html/rd/p/000002371.000001661.html,press@cybird.co.jp,"","",アプリ,2023-06-25 12:16:40,"",""
株式会社Tixplus,https://prtimes.jp/main/html/rd/p/000000375.000044168.html,press@tixplus.co.jp,"","",アプリ,2023-06-25 12:16:40,"",""
株式会社サミーネットワークス,https://prtimes.jp/main/html/rd/p/000001528.000002703.html,press@sammy-net.jp,03-6864-5400,小田嶋、星山,アプリ,2023-06-25 12:16:40,"",""
株式会社 ウインライト,https://prtimes.jp/main/html/rd/p/000000076.000102391.html,syasuda@winlight.co.jp,03-6666-9572,安田　新,アプリ,2023-06-25 12:16:40,"",""
17LIVE株式会社,https://prtimes.jp/main/html/rd/p/000000428.000030133.html,17live@vectorinc.co.jp,"",三好・内田・亀田・松下,アプリ,2023-06-25 12:16:40,"",""
株式会社GENDA GiGO Entertainment,https://prtimes.jp/main/html/rd/p/000000520.000034930.html,gge-pub@gigo.co.jp,03-6404-8581,古平・鶴,アプリ,2023-06-25 12:16:40,"",""
株式会社asken,https://prtimes.jp/main/html/rd/p/000000087.000058653.html,grp_asken_pr@asken.inc,"",多田 (ただ),アプリ,2023-06-25 12:16:40,"",""
ポッピンゲームズジャパン株式会社,https://prtimes.jp/main/html/rd/p/000000099.000017345.html,pr@poppin-games.com,"","",アプリ,2023-06-25 12:16:40,"",""
株式会社ウィズプラス,https://prtimes.jp/main/html/rd/p/000000004.000119606.html,info@withpluss.com,"","",アプリ,2023-06-25 12:16:40,"",""
株式会社 Gunosy,https://prtimes.jp/main/html/rd/p/000000083.000031854.html,pr@gunosy.com,"","",アプリ,2023-06-25 12:16:40,"",""
株式会社ナビタイムジャパン,https://prtimes.jp/main/html/rd/p/000000262.000026884.html,pr_n@navitime.co.jp,"",　有可、漣,アプリ,2023-06-25 12:16:40,"",""
株式会社アクアメント,https://prtimes.jp/main/html/rd/p/000000127.000084116.html,press-atoa@aquament.co.jp,078-232-4180,武沢(梨)、山下,アプリ,2023-06-25 12:16:40,"",""
楽天ペイメント株式会社,https://prtimes.jp/main/html/rd/p/000000336.000057042.html,payment-pr-team@mail.rakuten.com,"","",アプリ,2023-06-25 12:16:40,"",""
株式会社New Innovations,https://prtimes.jp/main/html/rd/p/000000056.000046923.html,pr@newinov.com,03-4405-3180,"",アプリ,2023-06-25 12:16:40,"",""
大網株式会社,https://prtimes.jp/main/html/rd/p/000001568.000025615.html,wholesaler@oh-ami.com,"","",アプリ,2023-06-25 12:16:40,"",""
PUBG JAPAN株式会社,https://prtimes.jp/main/html/rd/p/000000088.000082433.html,pubg_jpmarketingteam@pubg.com,"","",アプリ,2023-06-25 12:16:40,"",""
凸版印刷株式会社,https://prtimes.jp/main/html/rd/p/000001153.000033034.html,kouhou@toppan.co.jp,"",鈴木,アプリ,2023-06-25 12:16:40,"",""
株式会社Link Sports,https://prtimes.jp/main/html/rd/p/000000073.000016295.html,campaigngr@linksports.co.jp,"",竹中・山岸,アプリ,2023-06-25 12:16:40,"",""
株式会社アイフリーク モバイル,https://prtimes.jp/main/html/rd/p/000000206.000019796.html,group-pr@i-freek.co.jp,03-6274-8901,"",アプリ,2023-06-25 12:16:40,"",""
株式会社クリップス,https://prtimes.jp/main/html/rd/p/000000073.000040160.html,support@clips-web.co.jp,03-4500-7916,池端,アプリ,2023-06-25 12:16:40,"",""
株式会社オトバンク,https://prtimes.jp/main/html/rd/p/000000308.000034798.html,yshinoda@otobank.co.jp,03-5805-2915,　佐伯・篠田,アプリ,2023-06-25 12:16:40,"",""
株式会社Voicy,https://prtimes.jp/main/html/rd/p/000000308.000021111.html,pr@voicy.jp,"",小出・長谷部,アプリ,2023-06-25 12:16:40,"",""
株式会社enish,https://prtimes.jp/main/html/rd/p/000000710.000012086.html,pr@enish.com,03-6447-4020,"",アプリ,2023-06-25 12:16:40,"",""
ニキ株式会社,https://prtimes.jp/main/html/rd/p/000000036.000046454.html,wang.w@papegames.net,050-1745-7003,王,アプリ,2023-06-25 12:16:40,"",""
株式会社DeNA SOMPO Mobility,https://prtimes.jp/main/html/rd/p/000000060.000044125.html,pr@dena.jp,"",担当:塚越(DeNA広報),アプリ,2023-06-25 12:16:40,"",""
株式会社ブシロード,https://prtimes.jp/main/html/rd/p/000006756.000014827.html,press@bushiroad.com,"",小林、藤田,アプリ,2023-06-25 12:16:40,"",""
LINE株式会社,https://prtimes.jp/main/html/rd/p/000004348.000001594.html,press@linecorp.com,"",金島・生田・高橋・上野,アプリ,2023-06-25 12:16:40,"",""
ALAKI株式会社,https://prtimes.jp/main/html/rd/p/000000008.000092521.html,： support@alaki.co.jp,06-7878-5226,　： 伊東,アプリ,2023-06-25 12:16:40,"",""
ポノス株式会社,https://prtimes.jp/main/html/rd/p/000000458.000036495.html,pressrelease@ponos.co.jp,"","",アプリ,2023-06-25 12:16:40,"",""
楽天グループ株式会社,https://prtimes.jp/main/html/rd/p/000001962.000005889.html,pr@mail.rakuten.com,"","",アプリ,2023-06-25 12:16:40,"",""
"Strava, Inc.",https://prtimes.jp/main/html/rd/p/000000002.000117531.html,strava@ozma.co.jp,"","",アプリ,2023-06-25 12:16:40,"",""
"Audible, Inc.",https://prtimes.jp/main/html/rd/p/000000178.000036126.html,audible_pr@ssu.co.jp,"",吉松（080-4734-8432）、朝日奈（070-1230-7937）、榛沢、蛭川,アプリ,2023-06-25 12:16:40,"",""
株式会社 ソニー・ミュージックソリューションズ,https://prtimes.jp/main/html/rd/p/000000086.000043535.html,SMS.DB.hinatosho-info@sonymusic.co.jp,"","",アプリ,2023-06-25 12:16:40,"",""
