会社名,担当者,電話番号,メールアドレス,カテゴリ,prtimesのURL,日時,連絡禁止,初回アポ済み
株式会社NFTDrive,中島理男,"",nftdrive01@gmail.com,アプリ,https://prtimes.jp/main/html/rd/p/000000003.000119487.html,2023-05-21 12:58:43,○,○
C4 Connect株式会社,Moon.Mu,"",moon.mu@c4connect.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000087.000047782.html,2023-05-21 12:59:41,"",""
株式会社おいしい健康,"","",press@oishi-kenko.com,アプリ,https://prtimes.jp/main/html/rd/p/000000084.000043855.html,2023-05-21 13:00:46,"",""
株式会社U-NEXT,桑名・伊東・中村(知),03-5563-8240,senden@paravi.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000697.000030674.html,2023-05-21 13:10:10,"",""
AppBank株式会社,"","",koho@appbank.net,アプリ,https://prtimes.jp/main/html/rd/p/000000079.000056785.html,2023-05-21 13:10:44,"",""
東日本電信電話株式会社,"","",hiroyuki.ootake.mz@airportradio.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000624.000098811.html,2023-05-21 13:11:13,"",""
ウェルヴィル株式会社,　山崎,"",contact@wellvill.com,アプリ,https://prtimes.jp/main/html/rd/p/000000018.000066680.html,2023-05-21 13:11:45,"",""
株式会社サイバード,"","",press@cybird.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000002371.000001661.html,2023-05-21 13:12:59,"",""
株式会社Tixplus,"","",press@tixplus.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000375.000044168.html,2023-05-21 13:14:13,"",""
株式会社サミーネットワークス,小田嶋、星山,03-6864-5400,press@sammy-net.jp,アプリ,https://prtimes.jp/main/html/rd/p/000001528.000002703.html,2023-05-21 13:14:47,"",""
株式会社 ウインライト,安田　新,03-6666-9572,syasuda@winlight.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000076.000102391.html,2023-05-21 13:15:58,"",""
17LIVE株式会社,三好・内田・亀田・松下,"",（共通）: pr_jp@17.live,アプリ,https://prtimes.jp/main/html/rd/p/000000428.000030133.html,2023-05-21 13:16:32,"",""
株式会社GENDA GiGO Entertainment,古平・鶴,03-6404-8581,gge-pub@gigo.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000520.000034930.html,2023-05-21 13:17:05,"",""
株式会社asken,多田 (ただ),"",grp_asken_pr@asken.inc,アプリ,https://prtimes.jp/main/html/rd/p/000000087.000058653.html,2023-05-21 13:17:40,"",""
ポッピンゲームズジャパン株式会社,"","",pr@poppin-games.com,アプリ,https://prtimes.jp/main/html/rd/p/000000099.000017345.html,2023-05-21 13:18:11,"",""
株式会社ウィズプラス,"","",info@withpluss.com,アプリ,https://prtimes.jp/main/html/rd/p/000000004.000119606.html,2023-05-21 13:18:38,"",""
株式会社 Gunosy,"","",pr@gunosy.com,アプリ,https://prtimes.jp/main/html/rd/p/000000083.000031854.html,2023-05-21 13:19:15,"",""
株式会社ナビタイムジャパン,　有可、漣,"",pr_n@navitime.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000262.000026884.html,2023-05-21 13:19:48,"",""
株式会社アクアメント,武沢(梨)、山下,078-232-4180,press-atoa@aquament.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000127.000084116.html,2023-05-21 13:20:22,"",""
楽天ペイメント株式会社,"","",payment-pr-team@mail.rakuten.com,アプリ,https://prtimes.jp/main/html/rd/p/000000336.000057042.html,2023-05-21 13:21:50,"",""
株式会社New Innovations,"",03-4405-3180,pr@newinov.com,アプリ,https://prtimes.jp/main/html/rd/p/000000056.000046923.html,2023-05-21 13:22:21,"",""
大網株式会社,"","",wholesaler@oh-ami.com,アプリ,https://prtimes.jp/main/html/rd/p/000001568.000025615.html,2023-05-21 13:22:52,"",""
