会社名,担当者,電話番号,メールアドレス,カテゴリ,prtimesのURL
株式会社U-NEXT,桑名・伊東・中村(知),03-5563-8240,senden@paravi.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000697.000030674.html
AppBank株式会社,"","",koho@appbank.net,アプリ,https://prtimes.jp/main/html/rd/p/000000079.000056785.html
東日本電信電話株式会社,"","",hiroyuki.ootake.mz@airportradio.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000624.000098811.html
ウェルヴィル株式会社,　山崎,"",contact@wellvill.com,アプリ,https://prtimes.jp/main/html/rd/p/000000018.000066680.html
株式会社サイバード,"","",press@cybird.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000002371.000001661.html
株式会社Tixplus,"","",press@tixplus.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000375.000044168.html
株式会社サミーネットワークス,小田嶋、星山,03-6864-5400,press@sammy-net.jp,アプリ,https://prtimes.jp/main/html/rd/p/000001528.000002703.html
株式会社 ウインライト,安田　新,03-6666-9572,syasuda@winlight.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000076.000102391.html
17LIVE株式会社,三好・内田・亀田・松下,"",（共通）: pr_jp@17.live,アプリ,https://prtimes.jp/main/html/rd/p/000000428.000030133.html
株式会社GENDA GiGO Entertainment,古平・鶴,03-6404-8581,gge-pub@gigo.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000520.000034930.html
株式会社asken,多田 (ただ),"",grp_asken_pr@asken.inc,アプリ,https://prtimes.jp/main/html/rd/p/000000087.000058653.html
ポッピンゲームズジャパン株式会社,"","",pr@poppin-games.com,アプリ,https://prtimes.jp/main/html/rd/p/000000099.000017345.html
株式会社ウィズプラス,"","",info@withpluss.com,アプリ,https://prtimes.jp/main/html/rd/p/000000004.000119606.html
株式会社 Gunosy,"","",pr@gunosy.com,アプリ,https://prtimes.jp/main/html/rd/p/000000083.000031854.html
株式会社ナビタイムジャパン,　有可、漣,"",pr_n@navitime.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000262.000026884.html
株式会社アクアメント,武沢(梨)、山下,078-232-4180,press-atoa@aquament.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000127.000084116.html
楽天ペイメント株式会社,"","",payment-pr-team@mail.rakuten.com,アプリ,https://prtimes.jp/main/html/rd/p/000000336.000057042.html
株式会社New Innovations,"",03-4405-3180,pr@newinov.com,アプリ,https://prtimes.jp/main/html/rd/p/000000056.000046923.html
大網株式会社,"","",wholesaler@oh-ami.com,アプリ,https://prtimes.jp/main/html/rd/p/000001568.000025615.html
PUBG JAPAN株式会社,"","",pubg_jpmarketingteam@pubg.com,アプリ,https://prtimes.jp/main/html/rd/p/000000088.000082433.html
凸版印刷株式会社,鈴木,"",kouhou@toppan.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000001153.000033034.html
株式会社Link Sports,竹中・山岸,"",campaigngr@linksports.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000073.000016295.html
株式会社アイフリーク モバイル,"",03-6274-8901,group-pr@i-freek.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000206.000019796.html
株式会社クリップス,池端,03-4500-7916,support@clips-web.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000073.000040160.html
株式会社オトバンク,　佐伯・篠田,03-5805-2915,yshinoda@otobank.co.jp,アプリ,https://prtimes.jp/main/html/rd/p/000000308.000034798.html
